Poem_Index,Title,Author,URL,Content,A,B,C,Translation
75,赠卫八处士,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_9670cc44eef4.aspx,"人生不相见，动如参与商。
今夕复何夕，共此灯烛光。
少壮能几时，鬓发各已苍。
访旧半为鬼，惊呼热中肠。
焉知二十载，重上君子堂。
昔别君未婚，儿女忽成行。
怡然敬父执，问我来何方。
问答乃未已，驱儿罗酒浆。(乃未已 一作：未及已；驱儿 一作：儿女)
夜雨剪春韭，新炊间黄粱。
主称会面难，一举累十觞。
十觞亦不醉，感子故意长。
明日隔山岳，世事两茫茫。",宣州谢朓楼饯别校书叔云,八阵图,望月怀远,"人生别离不能常相见，就像西方的参星和东方的商星你起我落。
今夜是什么日子如此幸运，竟然能与你挑灯共叙衷情？
青春壮健年少岁月能有多少，转瞬间你我都已经两鬓如霜。
打听昔日朋友大半都已逝去，我内心激荡不得不连声哀叹。
真没想到阔别二十年之后，还能有机会再次来登门拜访。
当年分别时你还没有结婚成家，倏忽间你的子女已成帮成行。
他们彬彬有礼笑迎父亲挚友，热情地询问我来自什么地方？
还来不及讲述完所有的往事，你就催促儿女快把酒菜摆上。
冒着夜雨剪来了新鲜的韭菜，呈上新煮的黄米饭让我品尝。
你说难得有这个机会见面，开怀畅饮一连喝干了十几杯。
喝下十几杯酒也难以让我一醉，是感受到老朋友的情谊深长。
明日分别后又相隔千山万水，茫茫的世事真令人愁绪难断。"
76,赠别二首·其二,杜牧 〔唐代〕,https://www.gushiwen.cn/shiwenv_b4fbe7244670.aspx,"多情却似总无情，唯觉尊前笑不成。(尊 一作：樽)
蜡烛有心还惜别，替人垂泪到天明。",金陵图,孤雁二首·其二,金缕衣,多情的人却像是无情人儿一样冰冷，在离别的酒宴上只觉笑不出声。蜡烛仿佛还有惜别的心意，替离别的人流泪到天明。
77,赠别二首·其一,杜牧 〔唐代〕,https://www.gushiwen.cn/shiwenv_a1cf171da994.aspx,"娉娉袅袅十三余，豆蔻梢头二月初。
春风十里扬州路，卷上珠帘总不如。",白雪歌送武判官归京,凉州词二首·其一,梦李白二首·其一,十三四岁的少女姿态袅娜，举止轻盈美好，就像二月里含苞待放，初现梢头的豆蔻花。十里扬州路的春风骀荡，珠帘翠幕中的佳人姝丽没有比得上她。
78,赠内人,张祜 〔唐代〕,https://www.gushiwen.cn/shiwenv_a6a842d363d7.aspx,"禁门宫树月痕过，媚眼惟看宿鹭窠。
斜拔玉钗灯影畔，剔开红焰救飞蛾。",月夜·今夜鄜州月,赠阙下裴舍人,佳人,月光由宫门移到树梢，媚眼只看那栖息的鹭的窝巢。站在灯影前，偏头取下玉钗，挑开灯焰救出扑火飞蛾。
79,赋得暮雨送李胄,韦应物 〔唐代〕,https://www.gushiwen.cn/shiwenv_40920344347d.aspx,"楚江微雨里，建业暮钟时。
漠漠帆来重，冥冥鸟去迟。
海门深不见，浦树远含滋。
相送情无限，沾襟比散丝。",夕次盱眙县,赋得古原草送别,长安遇冯著,楚江笼罩在蒙蒙微雨里，建业城正敲响暮时之钟。江面水汽迷蒙，被打湿的船帆显得沉重，天色昏暗鸟儿飞得迟缓。长江流入海门深远不见，江边树木饱含雨滴润滋。送别老朋友我情深无限，沾襟泪水像江面的雨丝。
80,赋得古原草送别,白居易 〔唐代〕,https://www.gushiwen.cn/shiwenv_b7820a12ebaa.aspx,"离离原上草，一岁一枯荣。
野火烧不尽，春风吹又生。
远芳侵古道，晴翠接荒城。
又送王孙去，萋萋满别情。",喜见外弟又言别,赋得暮雨送李胄,渡荆门送别,原野上长满茂盛的青草，年年岁岁枯萎了又再度繁荣。野火无法烧尽满地的野草，春风一吹，它又会再一次生长出来。远处芬芳的野草遮没了古道，阳光照耀下，明丽翠绿的草原连接着荒城。今天我又来送别老朋友，连繁茂的草儿也满怀离别之情。
81,贾生,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_cd908d31f388.aspx,"宣室求贤访逐臣，贾生才调更无伦。
可怜夜半虚前席，不问苍生问鬼神。",遣悲怀三首·其三,长沙过贾谊宅,和贾舍人早朝大明宫之作,汉文帝求贤在未央宫前殿召见被贬的臣子，贾谊的政治才能无人能比。可惜文帝半夜移膝靠近贾谊听讲，不问百姓生机只问起鬼神之事。
82,贼退示官吏,元结 〔唐代〕,https://www.gushiwen.cn/shiwenv_b0dc7d922c3d.aspx,"癸卯岁，西原贼入道县，焚烧杀掠，几尽而去。明年，贼又攻永破邵，不犯此州边鄙而退。岂力能制敌与？盖蒙其伤怜而已。诸使何为忍苦征敛，故作诗一篇以示官吏。
昔岁逢太平，山林二十年。
泉源在庭户，洞壑当门前。
井税有常期，日晏犹得眠。
忽然遭世变，数岁亲戎旃。
今来典斯郡，山夷又纷然。
城小贼不屠，人贫伤可怜。
是以陷邻境，此州独见全。
使臣将王命，岂不如贼焉？
今彼征敛者，迫之如火煎。(今彼 一作：今被)
谁能绝人命，以作时世贤！
思欲委符节，引竿自刺船。
将家就鱼麦，归老江湖边。",兵车行,贼平后送人北归,燕歌行·并序,"癸卯年，西原贼人攻入道州城，焚烧杀戮掠夺，几乎扫光全城才走。第二年，贼人又攻打永州并占领邵州，却不侵犯道州边境而去。难道道州官兵能有力制敌吗？不过是蒙受贼人的哀怜而巳。催缴赋税的官吏为什么还如此忍心苦苦搜括呢？因此作诗一篇给官吏们看看。
我早年遇到了太平世道，在山林中隐居了二十年。
清泉水流经过我家门口，山涧洞谷对着我家门前。
田租赋税有个固定期限，日上三竿依然安稳酣眠。
忽然间遭遇到世道突变，数年来亲自从军上前线。
如今我来治理这个郡县，又遇到蛮夷来骚扰侵犯。
县城太小蛮夷无意洗劫，他们也同情可怜贫穷百姓。
因此他们攻陷邻县境界，唯有这个道州独自保全。
奉皇命来收租税的使臣，难道还比不上盗贼慈善？
现在那横征暴敛的官吏，催赋逼税恰如火烧油煎。
谁忍心断绝人民的生路，换取时世所称赞的忠贤？
我想辞去官职丢弃符节，拿起竹篙自己动手撑船。
带领全家回到鱼米之乡，告老归隐住在那江湖边。"
83,贼平后送人北归,司空曙 〔唐代〕,https://www.gushiwen.cn/shiwenv_558c33fed0df.aspx,"世乱同南去，时清独北还。
他乡生白发，旧国见青山。
晓月过残垒，繁星宿故关。
寒禽与衰草，处处伴愁颜。",送人东游,送友人,关山月,战乱时我和你一同逃到南方，时局安定你却独自北归家园。流落他乡头上已经生出白发，战后的家乡也只能见到青山。晓行要经过许多残破的营垒，夜里只能披星露宿荒凉故关。旷野里的飞禽与枯黄的野草，将处处伴随着你的悲苦愁颜。
84,贫女,秦韬玉 〔唐代〕,https://www.gushiwen.cn/shiwenv_440bd7ab651d.aspx,"蓬门未识绮罗香，拟托良媒益自伤。
谁爱风流高格调，共怜时世俭梳妆。
敢将十指夸针巧，不把双眉斗画长。
苦恨年年压金线，为他人作嫁衣裳。",阙题,烈女操,送杨氏女,贫家的女儿不识绮罗的芳香，想托个良媒说亲更感到悲伤。谁能爱我高尚的品格和情调？却都喜欢时下正流行的俭妆。敢夸十指灵巧针线做得精美，决不天天描眉与人争短比长。深恨年年手里拿着金线刺绣，都是替富人家小姐做嫁衣裳。
85,谷口书斋寄杨补阙,钱起 〔唐代〕,https://www.gushiwen.cn/shiwenv_b9dba57bdd9b.aspx,"泉壑带茅茨，云霞生薜帷。
竹怜新雨后，山爱夕阳时。
闲鹭栖常早，秋花落更迟。
家僮扫萝径，昨与故人期。",山居秋暝,阙题,秋日登吴公台上寺远眺,山泉沟壑萦绕着这座茅屋书斋，云霞映衬墙头薜荔像五彩幔帷。雨后新竹的姿彩多么叫人喜爱，更可爱晚山映照着夕阳的余辉。悠闲的白鹭常常早早回巢栖宿，秋花饱含生机比别处落得更迟。家仆正辛勤地把萝径打扫干净，我昨天与老朋友预约会面日期。
86,谒衡岳庙遂宿岳寺题门楼,韩愈 〔唐代〕,https://www.gushiwen.cn/shiwenv_516481aac665.aspx,"五岳祭秩皆三公，四方环镇嵩当中。
火维地荒足妖怪，天假神柄专其雄。
喷云泄雾藏半腹，虽有绝顶谁能穷？
我来正逢秋雨节，阴气晦昧无清风。
潜心默祷若有应，岂非正直能感通！
须臾静扫众峰出，仰见突兀撑青空。
紫盖连延接天柱，石廪腾掷堆祝融。
森然魄动下马拜，松柏一径趋灵宫。
粉墙丹柱动光彩，鬼物图画填青红。
升阶伛偻荐脯酒，欲以菲薄明其衷。
庙令老人识神意，睢盱侦伺能鞠躬。
手持杯珓导我掷，云此最吉余难同。
窜逐蛮荒幸不死，衣食才足甘长终。
侯王将相望久绝，神纵欲福难为功。
夜投佛寺上高阁，星月掩映云曈昽。
猿鸣钟动不知曙，杲杲寒日生于东。",石鼓歌,登岳阳楼,秋日赴阙题潼关驿楼,"祭祀五岳的礼仪与祭祀三公同等隆重，五岳之中，四山环绕，唯有嵩山位居中央。
衡山地处偏远，多有妖魔鬼怪出没，上天赋予南岳神君赫赫神威，让他在此独掌雄威。
山间云雾从半山腰喷涌弥漫，一片迷茫，即便有高耸绝顶，又有谁能攀至巅峰？
我前来之时，恰逢秋雨连绵，天色阴沉晦暗，连一丝清风也无。
我在心中默默祈祷，仿佛即刻有了回应，难道不是因为人正直，才能与神明感应相通吗？
片刻之间，云雾便被清扫一空，群峰豁然显现，抬头仰望，山峰突兀耸立，直插青天。
紫盖峰绵延不绝，与天柱峰紧密相连；石廪峰起伏跌宕，衔接着祝融峰的雄姿。
山势森严险峻，令人心惊魄动，我下马跪拜后，沿着松柏掩映的小径直奔神灵宫殿。
粉墙与红柱相互映照，光彩夺目，殿内壁柱上的鬼怪图画，或青或红，色彩鲜明。
登上台阶后，我弯腰献上酒肉祭品，愿以这份微薄之物，表明自己的虔诚心意。
掌管神庙的老者深谙神意，他察言观色，连连向我躬身行礼。
他手持杯珓，教我投掷占卜之法，称此卦兆最为吉利，旁人难遇这般好运。
我遭贬谪放逐至蛮荒之地，侥幸得以存活，只要衣食无忧，便甘愿在此终老一生。
封侯拜相的欲望，我早已断绝，即便神明想要赐福于我，也难以促成其事。
当晚我投宿佛寺，居于高阁之上，星月交相辉映，山间云雾朦胧，若隐若现。
猿猴啼鸣相伴着寺院钟声，不知不觉便到了天明，东方一轮清冷朝阳，缓缓升至高空。"
87,观公孙大娘弟子舞剑器行,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_ab7f5336bda5.aspx,"大历二年十月十九日，夔府别驾元持宅，见临颍李十二娘舞剑器，壮其蔚跂，问其所师，曰：“余公孙大娘弟子也。” 开元五载，余尚童稚，记于郾城观公孙氏，舞剑器浑脱，浏漓顿挫，独出冠时，自高头宜春梨园二伎坊内人洎外供奉舞女，晓是舞者，圣文神武皇帝初，公孙一人而已。玉貌锦衣，况余白首，今兹弟子，亦非盛颜。既辨其由来，知波澜莫二，抚事慷慨，聊为《剑器行》。昔者吴人张旭，善草书帖，数常于邺县见公孙大娘舞西河剑器，自此草书长进，豪荡感激，即公孙可知矣。
昔有佳人公孙氏，一舞剑器动四方。
观者如山色沮丧，天地为之久低昂。
㸌如羿射九日落，矫如群帝骖龙翔。
来如雷霆收震怒，罢如江海凝清光。
绛唇珠袖两寂寞，晚有弟子传芬芳。
临颍美人在白帝，妙舞此曲神扬扬。
与余问答既有以，感时抚事增惋伤。
先帝侍女八千人，公孙剑器初第一。
五十年间似反掌，风尘澒洞昏王室。
梨园弟子散如烟，女乐余姿映寒日。
金粟堆前木已拱，瞿唐石城草萧瑟。
玳筵急管曲复终，乐极哀来月东出。
老夫不知其所往，足茧荒山转愁疾。",长恨歌,哀王孙,琵琶行,"唐大历二年十月十九日，我在夔府别驾元持家里，观看临颍李十二娘跳剑器舞，觉得舞姿矫健多变非常壮观， 就问她是向谁学习的？她说：“我是公孙大娘的学生”。玄宗开元五年，我还年幼，记得在郾城看过公孙大娘跳《剑器》和《浑脱》舞，流畅飘逸而且节奏明朗，超群出众，当代第一，从皇宫内的宜春、梨园弟子 到宫外供奉的舞女中，懂得此舞的，在唐玄宗初年，只有公孙大娘一人而已。当年她服饰华美，容貌漂亮，如今我已是白首老翁，眼前她的弟子李十二娘，也已经不是年轻女子了。既然知道了她舞技的渊源，看来她们师徒的舞技一脉相承，抚今追昔，心中无限感慨，姑且写了《剑器行》这首诗。 听说过去吴州人张旭，他擅长书写草书字帖，在邺县经常观看公孙大娘跳一种《西河剑器》舞，从此草书书法大有长进，豪放激扬，放荡不羁，由此可知公孙大娘舞技之高超了。

从前有个漂亮女人，名叫公孙大娘，每当她跳起剑舞来，就要轰动四方。
观看人群多如山，心惊魄动脸变色，天地也被她的舞姿感染，起伏震荡。
剑光璀灿夺目，有如后羿射落九日， 舞姿矫健敏捷，恰似天神驾龙飞翔，
起舞时剑势如雷霆万钧，令人屏息，收舞时平静，好象江海凝聚的波光。
鲜红的嘴唇绰约的舞姿，都已逝去，到了晚年，有弟子把艺术继承发扬。
临颍美人李十二娘，在白帝城表演，她和此曲起舞，精妙无比神采飞扬。
她和我谈论好久，关于剑舞的来由，我忆昔抚今，更增添无限惋惜哀伤。
当年玄宗皇上的侍女，约有八千人，剑器舞姿数第一的，只有公孙大娘。
五十年的光阴，真好比翻一下手掌，连年战乱烽烟弥漫，朝政昏暗无常。
那些梨园子弟，一个个地烟消云散，只留李氏的舞姿，掩映冬日的寒光。
金粟山玄宗墓前的树木，已经合抱，瞿塘峡白帝城一带，秋草萧瑟荒凉。
玳弦琴瑟急促的乐曲，又一曲终了，明月初出乐极生悲，我心中惶惶。
我这老夫，真不知哪是要去的地方， 荒山里迈步艰难，越走就越觉凄伤。"
88,西施咏,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_f73dd1f66af4.aspx,"艳色天下重，西施宁久微。
朝为越溪女，暮作吴宫妃。
贱日岂殊众，贵来方悟稀。
邀人傅脂粉，不自著罗衣。
君宠益娇态，君怜无是非。
当时浣纱伴，莫得同车归。
持谢邻家子，效颦安可希。",春宫怨,在狱咏蝉,长恨歌,艳丽的姿色向来为天下器重，美丽的西施怎么能久处低微？原先她是越溪的一个浣纱女，后来却成了吴王宫里的爱妃。平贱时难道有什么与众不同？显贵了才惊悟她丽质天下稀。曾有多少宫女为她搽脂敷粉，她从来也不用自己穿著罗衣。君王宠幸她的姿态更加娇媚，君王怜爱从不计较她的是非。昔日一起在越溪浣纱的女伴，再不能与她同车去来同车归。奉告那盲目效颦的邻人东施，光学皱眉而想取宠并非容易！
89,西塞山怀古,刘禹锡 〔唐代〕,https://www.gushiwen.cn/shiwenv_1abc932ae63c.aspx,"王濬楼船下益州，金陵王气黯然收。(王濬 一作：西晋)
千寻铁锁沉江底，一片降幡出石头。
人世几回伤往事，山形依旧枕寒流。
今逢四海为家日，故垒萧萧芦荻秋。",秋日登吴公台上寺远眺,夜泊牛渚怀古,寻西山隐者不遇,王濬的战舰沿江东下离开益州，显赫无比的金陵王气骤然失色。千丈长的铁链沉入江底，一片降旗挂在石头城头。东吴灭亡以后，在金陵建都的王朝都先后灭亡，如今的西塞山依旧紧靠长江。从今以后天下归为一统，故垒萧条长满芦荻秋风飒飒。
90,行路难·其二,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_95834b2324cc.aspx,"大道如青天，我独不得出。
羞逐长安社中儿，赤鸡白雉赌梨栗。
弹剑作歌奏苦声，曳裾王门不称情。
淮阴市井笑韩信，汉朝公卿忌贾生。
君不见昔时燕家重郭隗，拥篲折节无嫌猜。
剧辛乐毅感恩分，输肝剖胆效英才。
昭王白骨萦蔓草，谁人更扫黄金台？
行路难，归去来！",赋得古原草送别,长干行·其一,陇西行四首·其二,人生道路如此宽广，唯独我没有出路。我不愿意追随长安城中的富家子弟，去搞斗鸡走狗一类的赌博游戏。像冯谖那样弹剑作歌发牢骚，在权贵之门卑躬屈节是不合我心意的。当年淮阴市人讥笑韩信怯懦无能，汉朝公卿大臣嫉妒贾谊才能超群。你看，古时燕昭王重用郭隗，拥篲折节、谦恭下士，毫不嫌疑猜忌。剧辛和乐毅感激知遇的恩情，竭忠尽智，以自己的才能来报效君主。然而燕昭王早就死了，还有谁能像他那样重用贤士呢？世路艰难，我只得归去啦！
91,行路难·其三,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_4d3b4d132c82.aspx,"有耳莫洗颍川水，有口莫食首阳蕨。
含光混世贵无名，何用孤高比云月？
吾观自古贤达人，功成不退皆殒身。
子胥既弃吴江上，屈原终投湘水滨。
陆机雄才岂自保？李斯税驾苦不早。
华亭鹤唳讵可闻？上蔡苍鹰何足道？
君不见吴中张翰称达生，秋风忽忆江东行。
且乐生前一杯酒，何须身后千载名？",兵车行,长干行·其一,清平调·其三,不要学许由用颍水洗耳，不要学伯夷和叔齐隐居首阳采薇而食。在世上活着贵在韬光养晦，为什么要隐居清高自比云月？我看自古以来的贤达之人，功绩告成之后不自行隐退都死于非命。伍子胥被吴王弃于吴江之上，屈原最终抱石自沉汨罗江中。陆机如此雄才大略也无法自保，李斯以自己悲惨的结局为苦。（陆机）是否还能听见华亭的别墅间的鹤唳？（李斯）是否还能在上蔡东门牵鹰打猎？你不知道吴中的张翰是个旷达之人，因见秋风起而想起江东故都。生时有一杯酒就应尽情欢乐，何须在意身后千年的虚名？
92,行路难·其一,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_870828ca8aaa.aspx,"金樽清酒斗十千，玉盘珍羞直万钱。(羞 同：馐；直 同：值)
停杯投箸不能食，拔剑四顾心茫然。
欲渡黄河冰塞川，将登太行雪满山。(雪满山 一作：雪暗天)
闲来垂钓碧溪上，忽复乘舟梦日边。(碧 一作：坐)
行路难，行路难，多歧路，今安在？
长风破浪会有时，直挂云帆济沧海。",秋登兰山寄张五,长相思·其一,将进酒,金杯中的美酒一斗价十千，玉盘里的菜肴珍贵值万钱。心中郁闷，我放下杯筷不愿进餐；拔出宝剑环顾四周，心里一片茫然。想渡黄河，冰雪却冻封了河川；想登太行山，莽莽风雪早已封山。像姜尚垂钓溪，闲待东山再起；又像伊尹做梦，他乘船经过日边。人生道路多么艰难，多么艰难；歧路纷杂，如今又身在何处？相信乘风破浪的时机总会到来，到时定要扬起征帆，横渡沧海！
93,行经华山,崔颢 〔唐代〕,https://www.gushiwen.cn/shiwenv_0c4f19716bfe.aspx,"岧峣太华俯咸京，天外三峰削不成。
武帝祠前云欲散，仙人掌上雨初晴。
河山北枕秦关险，驿路西连汉畤平。
借问路旁名利客，何如此处学长生。(何 一作：无)",同题仙游观,老将行,桃源行,在高峻华山上俯视京都长安，三峰伸向天外不是人工削成。在武帝祠前的乌云将要消散，雨过天晴仙人掌峰一片青葱。秦关北靠河山地势多么险要，驿路通过长安往西连着汉畤。借问路旁那些追名逐利的人，为何不到此访仙学道求长生？
94,行宫,元稹 〔唐代〕,https://www.gushiwen.cn/shiwenv_45c396367f59.aspx,"寥落古行宫，宫花寂寞红。
白头宫女在，闲坐说玄宗。",留别王侍御维,春宫怨,老将行,曾经富丽堂皇的古行宫已是一片荒凉冷落，宫中艳丽的花儿在寂寞寥落中开放。幸存的几个满头白发的宫女，闲坐无事只能谈论着玄宗轶事。
95,蝉,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_435308d6a3e1.aspx,"本以高难饱，徒劳恨费声。
五更疏欲断，一树碧无情。
薄宦梗犹泛，故园芜已平。
烦君最相警，我亦举家清。",逢入京使,在狱咏蝉,塞下曲·蝉鸣空桑林,你栖身高枝之上才难以饱腹，虽悲鸣寄恨而无人同情。五更以后疏落之声几近断绝，可是满树碧绿依然如故毫不动情。我官职卑下，行踪飘忽不定，家园难返，故乡的田园也早已荒芜。烦劳你的鸣叫让我能够警醒，我也是，家徒四壁，举家清苦。
96,蜀道难,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_d59ec5d6c91c.aspx,"噫吁嚱，危乎高哉！
蜀道之难，难于上青天！
蚕丛及鱼凫，开国何茫然！
尔来四万八千岁，不与秦塞通人烟。
西当太白有鸟道，可以横绝峨眉巅。
地崩山摧壮士死，然后天梯石栈相钩连。
上有六龙回日之高标，下有冲波逆折之回川。
黄鹤之飞尚不得过，猿猱欲度愁攀援。
青泥何盘盘，百步九折萦岩峦。
扪参历井仰胁息，以手抚膺坐长叹。
问君西游何时还？畏途巉岩不可攀。
但见悲鸟号古木，雄飞雌从绕林间。
又闻子规啼夜月，愁空山。
蜀道之难，难于上青天，使人听此凋朱颜！
连峰去天不盈尺，枯松倒挂倚绝壁。
飞湍瀑流争喧豗，砯崖转石万壑雷。
其险也如此，嗟尔远道之人胡为乎来哉！(也如此 一作：也若此)
剑阁峥嵘而崔嵬，一夫当关，万夫莫开。
所守或匪亲，化为狼与豺。
朝避猛虎，夕避长蛇，磨牙吮血，杀人如麻。
锦城虽云乐，不如早还家。
蜀道之难，难于上青天，侧身西望长咨嗟！",长相思·其一,蜀相,梦游天姥吟留别,"唉呀呀！多么高峻伟岸！
蜀道难以攀越，简直难于上青天。
传说中蚕丛和鱼凫建立了蜀国，开国的年代实在久远无法详谈。
从那时至今约有四万八千年了吧，秦蜀被秦岭所阻从不沟通往返。
西边太白山高峻无路只有飞鸟可通行，此山可以直通峨眉山巅。
山崩地裂，埋葬了五位开山英雄壮士，这样以后高险的山路和栈道才相互勾连。
蜀中上有挡住太阳神六龙车的山巅，下有激浪排空迂回曲折的大川。
善于高飞的黄鹤尚且无法飞过，即使猢狲要想翻过也愁于攀援。
青泥岭的泥路曲曲弯弯，百步九折萦绕着山峦。
屏住呼吸仰头就可触摸参星和井星，紧张得透不过气来，用手抚胸惊恐不已徒长吁短叹。

好朋友呵请问你西游何时回还？这蜀道的峭岩险道实在难以登攀！
只见那悲鸟在古树上哀鸣啼叫；雄雌相随飞翔在茂密树丛之间。
月夜又听到杜鹃凄凉悲啼，在空山中传响回荡，令人愁思绵绵无穷尽！
蜀道难以攀越，简直难于上青天，使人听到这些怎么不脸色突变？
山峰座座相连离天还不到一尺，枯松老枝倒挂倚贴在绝壁之间。
漩涡飞转瀑布飞泻争相喧闹着，飞流撞击着巨石在山谷中滚动像万壑鸣雷一般。
这样危险的地方，唉呀呀你这个远方而来的客人，为什么非要来这里不可呀？

剑阁所在崇峻巍峨高入云端，只要一人把守千军万马难攻占。
驻守的官员倘若不是可信赖的人，难免要变为豺狼，据险作乱。
每日每夜都要躲避猛虎和长蛇，它们磨牙吮血，杀人如麻。
锦官城虽然说是个快乐的所在，如此险恶还不如早早地把家还。
蜀道难以攀越，简直难于上青天，侧身西望令人不免感慨与长叹！"
97,蜀相,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_625762a4b089.aspx,"丞相祠堂何处寻？锦官城外柏森森。
映阶碧草自春色，隔叶黄鹂空好音。
三顾频烦天下计，两朝开济老臣心。
出师未捷身先死，长使英雄泪满襟。",蜀先主庙,蜀道难,长相思·其一,去哪里寻找武侯诸葛亮的祠堂？在成都城外那柏树茂密的地方。碧草映照石阶，不过自为春色；隔着树叶的黄鹂，亦不过空作好音。刘备为统一天下而三顾茅庐，问计于诸葛亮，辅佐两代君主的老臣忠心耿耿。可惜出师伐魏还没有取得最后的胜利就先去世了，常使后代英雄感慨泪湿衣襟！
98,蜀先主庙,刘禹锡 〔唐代〕,https://www.gushiwen.cn/shiwenv_5cfb7b0f14bd.aspx,"天地英雄气，千秋尚凛然。(天地 一作：天下)
势分三足鼎，业复五铢钱。
得相能开国，生儿不象贤。
凄凉蜀故妓，来舞魏宫前。",宫词二首·其一,蜀相,苏武庙,刘备的英雄气概真可谓顶天立地，经历千秋万代威风凛凛至今依然。创立基业与吴魏三分天下成鼎足，恢复五铢钱币志在振兴汉室。等到丞相诸葛亮的帮助开创了国基，可惜生个儿子不像其父贤明。最凄惨的还是那蜀宫中的歌伎，在魏宫歌舞刘禅也毫无羞情。
99,落花,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_100a2931dea0.aspx,"高阁客竟去，小园花乱飞。
参差连曲陌，迢递送斜晖。
肠断未忍扫，眼穿仍欲归。
芳心向春尽，所得是沾衣。",长相思·其二,桃花溪,送綦毋潜落第还乡,高阁上的游人早已远去，小园的春花随风凋零纷纷乱飞。花影参差迷离接连着曲折的小径，远望落花回舞映着斜阳的余晖。我肝肠欲断，真不忍心把扫去满地落花；盼望残留枝头的春花能长久地保持下去。盛开的鲜花将随着春天而去，面对这一切，我只有落泪沾衣。
100,苏武庙,温庭筠 〔唐代〕,https://www.gushiwen.cn/shiwenv_52ca6ca57b11.aspx,"苏武魂销汉使前，古祠高树两茫然。
云边雁断胡天月，陇上羊归塞草烟。
回日楼台非甲帐，去时冠剑是丁年。
茂陵不见封侯印，空向秋波哭逝川。",燕歌行·并序,蜀先主庙,白雪歌送武判官归京,苏武初遇汉使，悲喜交集感慨万端；而今古庙高树，肃穆庄严久远渺然。羁留北海音书断绝，头顶胡天明月；荒陇牧羊回来，茫茫草原已升暮烟。回朝进谒楼台依旧，甲帐却无踪影；奉命出使加冠佩剑，正是潇洒壮年。封侯受爵缅怀茂陵，君臣已不相见；空对秋水哭吊先皇，哀叹逝去华年。
101,芙蓉楼送辛渐,王昌龄 〔唐代〕,https://www.gushiwen.cn/shiwenv_f433a64dd504.aspx,"寒雨连江夜入吴，平明送客楚山孤。
洛阳亲友如相问，一片冰心在玉壶。",凉州词二首·其一,登岳阳楼,寻陆鸿渐不遇,冷雨连夜洒遍吴地江天，清晨送走你后，独自面对着楚山离愁无限！到了洛阳，如果洛阳亲友问起我来，就请转告他们，我的心依然像玉壶里的冰那样晶莹纯洁！
102,至德二载甫自京金光门出间道归凤翔乾元初从左拾遗移华州掾与亲故别因出此门有悲往事,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_c6eb858ffa79.aspx,"此道昔归顺，西郊胡正繁。
至今残破胆，应有未招魂。
近侍归京邑，移官岂至尊。
无才日衰老，驻马望千门。",关山月,寄左省杜拾遗,集灵台·其二,当年由金光门这条路，去投奔凤翔，长安西郊，到处是安史叛军正作乱。直到如今想起来，仍叫人心惊胆颤，有人神魂尚未招回，依然诚恐诚惶。我拜近得左拾遗，回到了京畿地方，贬我华州掾，这旨意难道出自至尊。算了吧，我这庸才已逐日衰老鬓苍，告别长安，驻马回望千门宫殿檐房！
103,自夏口至鹦鹉洲夕望岳阳寄源中丞,刘长卿 〔唐代〕,https://www.gushiwen.cn/shiwenv_e4f3664b14eb.aspx,"汀洲无浪复无烟，楚客相思益渺然。
汉口夕阳斜渡鸟，洞庭秋水远连天。
孤城背岭寒吹角，独树临江夜泊船。(独树 一作：独戍)
贾谊上书忧汉室，长沙谪去古今怜。",秋日登吴公台上寺远眺,登岳阳楼,送綦毋潜落第还乡,鹦鹉洲在长江中浮沉，江面没有风浪也没有烟霭迷离；我这楚地客子的相思，就像江流浩渺无际。夕阳斜照着汉口，飞鸟都纷纷归巢；洞庭湖的秋水，烟波浩渺远接蓝天。背山的孤城响彻号角，一声声透出凄寒；滨临江边的独树旁，夜里泊着孤船。当年贾谊上书文帝，全是忧心汉室；他却被贬谪居长沙，古今谁不哀怜！
