Poem_Index,Title,Author,URL,Content,A,B,C
26,长相思·其一,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_8f424591685d.aspx,"长相思，在长安。
络纬秋啼金井阑，微霜凄凄簟色寒。
孤灯不明思欲绝，卷帷望月空长叹。
美人如花隔云端。
上有青冥之长天，下有渌水之波澜。(长天 一作：高天)
天长路远魂飞苦，梦魂不到关山难。
长相思，摧心肝。",长恨歌,梦李白二首·其一,寄韩谏议注
27,长沙过贾谊宅,刘长卿 〔唐代〕,https://www.gushiwen.cn/shiwenv_a9a0b6b0eede.aspx,"三年谪宦此栖迟，万古惟留楚客悲。
秋草独寻人去后，寒林空见日斜时。
汉文有道恩犹薄，湘水无情吊岂知？
寂寂江山摇落处，怜君何事到天涯！",自夏口至鹦鹉洲夕望岳阳寄源中丞,长恨歌,秋日登吴公台上寺远眺
28,长恨歌,白居易 〔唐代〕,https://www.gushiwen.cn/shiwenv_09d31b73b44d.aspx,"汉皇重色思倾国，御宇多年求不得。
杨家有女初长成，养在深闺人未识。
天生丽质难自弃，一朝选在君王侧。
回眸一笑百媚生，六宫粉黛无颜色。
春寒赐浴华清池，温泉水滑洗凝脂。
侍儿扶起娇无力，始是新承恩泽时。
云鬓花颜金步摇，芙蓉帐暖度春宵。
春宵苦短日高起，从此君王不早朝。
承欢侍宴无闲暇，春从春游夜专夜。
后宫佳丽三千人，三千宠爱在一身。
金屋妆成娇侍夜，玉楼宴罢醉和春。
姊妹弟兄皆列土，可怜光彩生门户。
遂令天下父母心，不重生男重生女。
骊宫高处入青云，仙乐风飘处处闻。
缓歌慢舞凝丝竹，尽日君王看不足。
渔阳鼙鼓动地来，惊破霓裳羽衣曲。
九重城阙烟尘生，千乘万骑西南行。
翠华摇摇行复止，西出都门百余里。
六军不发无奈何，宛转蛾眉马前死。
花钿委地无人收，翠翘金雀玉搔头。
君王掩面救不得，回看血泪相和流。
黄埃散漫风萧索，云栈萦纡登剑阁。
峨嵋山下少人行，旌旗无光日色薄。
蜀江水碧蜀山青，圣主朝朝暮暮情。
行宫见月伤心色，夜雨闻铃肠断声。
天旋地转回龙驭，到此踌躇不能去。(地转 一作：日转)
马嵬坡下泥土中，不见玉颜空死处。
君臣相顾尽沾衣，东望都门信马归。
归来池苑皆依旧，太液芙蓉未央柳。
芙蓉如面柳如眉，对此如何不泪垂？
春风桃李花开日，秋雨梧桐叶落时。(花开日 一作：花开夜)
西宫南内多秋草，落叶满阶红不扫。(南内 一作：南苑)
梨园弟子白发新，椒房阿监青娥老。
夕殿萤飞思悄然，孤灯挑尽未成眠。
迟迟钟鼓初长夜，耿耿星河欲曙天。
鸳鸯瓦冷霜华重，翡翠衾寒谁与共？
悠悠生死别经年，魂魄不曾来入梦。
临邛道士鸿都客，能以精诚致魂魄。
为感君王辗转思，遂教方士殷勤觅。
排空驭气奔如电，升天入地求之遍。
上穷碧落下黄泉，两处茫茫皆不见。
忽闻海上有仙山，山在虚无缥缈间。
楼阁玲珑五云起，其中绰约多仙子。
中有一人字太真，雪肤花貌参差是。
金阙西厢叩玉扃，转教小玉报双成。
闻道汉家天子使，九华帐里梦魂惊。
揽衣推枕起徘徊，珠箔银屏迤逦开。
云鬓半偏新睡觉，花冠不整下堂来。(云鬓 一作：云髻)
风吹仙袂飘飖举，犹似霓裳羽衣舞。(飘飖 一作：飘飘)
玉容寂寞泪阑干，梨花一枝春带雨。(阑 通：栏)
含情凝睇谢君王，一别音容两渺茫。
昭阳殿里恩爱绝，蓬莱宫中日月长。
回头下望人寰处，不见长安见尘雾。
惟将旧物表深情，钿合金钗寄将去。
钗留一股合一扇，钗擘黄金合分钿。
但令心似金钿坚，天上人间会相见。(但令 一作：但教)
临别殷勤重寄词，词中有誓两心知。
七月七日长生殿，夜半无人私语时。
在天愿作比翼鸟，在地愿为连理枝。
天长地久有时尽，此恨绵绵无绝期。",琵琶行,琴歌,石鼓歌
29,长干行·其一,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_2d0368e3fb76.aspx,"妾发初覆额，折花门前剧。
郎骑竹马来，绕床弄青梅。
同居长干里，两小无嫌猜。
十四为君妇，羞颜未尝开。
低头向暗壁，千唤不一回。
十五始展眉，愿同尘与灰。
常存抱柱信，岂上望夫台。
十六君远行，瞿塘滟滪堆。
五月不可触，猿声天上哀。(猿声 一作：猿鸣)
门前迟行迹，一一生绿苔。(迟 一作：旧)
苔深不能扫，落叶秋风早。
八月蝴蝶来，双飞西园草。(蝴蝶来 一作：蝴蝶黄)
感此伤妾心，坐愁红颜老。
早晚下三巴，预将书报家。
相迎不道远，直至长风沙。",长恨歌,长相思·其二,月夜忆舍弟
30,长干曲四首·其二,崔颢 〔唐代〕,https://www.gushiwen.cn/shiwenv_508647475cf8.aspx,"家临九江水，来去九江侧。
同是长干人，生小不相识。",琵琶行,长干行·其一,感遇十二首·其四
31,长干曲四首·其一,崔颢 〔唐代〕,https://www.gushiwen.cn/shiwenv_e2464f9806b5.aspx,"君家何处住，妾住在横塘。
停船暂借问，或恐是同乡。",琵琶行,长相思·其一,梦李白二首·其一
32,长安遇冯著,韦应物 〔唐代〕,https://www.gushiwen.cn/shiwenv_c40eeba65a3e.aspx,"客从东方来，衣上灞陵雨。
问客何为来，采山因买斧。
冥冥花正开，飏飏燕新乳。
昨别今已春，鬓丝生几缕。",长恨歌,寻隐者不遇,赋得暮雨送李胄
33,长信秋词五首·其三,王昌龄 〔唐代〕,https://www.gushiwen.cn/shiwenv_9cba626e0842.aspx,"奉帚平明金殿开，且将团扇共徘徊。(且 一作：暂)
玉颜不及寒鸦色，犹带昭阳日影来。",长恨歌,咏怀古迹五首·其三,月下独酌·其一
34,锦瑟,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_1921957e6e83.aspx,"锦瑟无端五十弦，一弦一柱思华年。
庄生晓梦迷蝴蝶，望帝春心托杜鹃。
沧海月明珠有泪，蓝田日暖玉生烟。
此情可待成追忆，只是当时已惘然。",琵琶行,瑶瑟怨,旅宿
35,金陵酒肆留别,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_15684c1da05b.aspx,"风吹柳花满店香，吴姬压酒劝客尝。(劝客 一作：唤客)
金陵子弟来相送，欲行不行各尽觞。
请君试问东流水，别意与之谁短长？",金缕衣,题金陵渡,秋登兰山寄张五
36,金陵图,韦庄 〔唐代〕,https://www.gushiwen.cn/shiwenv_403a2c45c30b.aspx,"谁谓伤心画不成，画人心逐世人情。
君看六幅南朝事，老木寒云满故城。",赠别二首·其二,金陵酒肆留别,送友人
37,金谷园,杜牧 〔唐代〕,https://www.gushiwen.cn/shiwenv_462ee35a4d55.aspx,"繁华事散逐香尘，流水无情草自春。
日暮东风怨啼鸟，落花犹似坠楼人。",寒食,金陵图,春晓
38,金缕衣,佚名 〔唐代〕,https://www.gushiwen.cn/shiwenv_d5cea0c3607d.aspx,"劝君莫惜金缕衣，劝君惜取少年时。(惜取 一作：须惜)
花开堪折直须折，莫待无花空折枝。(花开 一作：有花)",将进酒,乌衣巷,李端公
39,野望,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_c14aa77a50e5.aspx,"西山白雪三城戍，南浦清江万里桥。
海内风尘诸弟隔，天涯涕泪一身遥。
惟将迟暮供多病，未有涓埃答圣朝。(惟 通：唯)
跨马出郊时极目，不堪人事日萧条。",长恨歌,春望,兵车行
40,酬郭给事,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_47847fb84bee.aspx,"洞门高阁霭馀辉，桃李阴阴柳絮飞。
禁里疏钟官舍晚，省中啼鸟吏人稀。
晨摇玉佩趋金殿，夕奉天书拜琐闱。
强欲从君无那老，将因卧病解朝衣。",长恨歌,酬张少府,酬程延秋夜即事见赠
41,酬程延秋夜即事见赠,韩翃 〔唐代〕,https://www.gushiwen.cn/shiwenv_baf6517f175b.aspx,"长簟迎风早，空城澹月华。
星河秋一雁，砧杵夜千家。
节候看应晚，心期卧亦赊。
向来吟秀句，不觉已鸣鸦。",长恨歌,酬郭给事,秋夜曲
42,酬张少府,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_aedaa001525c.aspx,"晚年唯好静，万事不关心。(唯 一作：惟)
自顾无长策，空知返旧林。
松风吹解带，山月照弹琴。
君问穷通理，渔歌入浦深。",黄鹤楼送孟浩然之广陵,宿府,秋日登吴公台上寺远眺
43,郡斋雨中与诸文士燕集,韦应物 〔唐代〕,https://www.gushiwen.cn/shiwenv_4d064982fa0e.aspx,"兵卫森画戟，宴寝凝清香。
海上风雨至，逍遥池阁凉。
烦疴近消散，嘉宾复满堂。
自惭居处崇，未睹斯民康。
理会是非遣，性达形迹忘。
鲜肥属时禁，蔬果幸见尝。
俯饮一杯酒，仰聆金玉章。
神欢体自轻，意欲凌风翔。
吴中盛文史，群彦今汪洋。
方知大藩地，岂曰财赋强。",长恨歌,寄全椒山中道士,谒衡岳庙遂宿岳寺题门楼
44,遣悲怀三首·其二,元稹 〔唐代〕,https://www.gushiwen.cn/shiwenv_8d7eab9265d3.aspx,"昔日戏言身后意，今朝都到眼前来。(身后意 一作：身后事)
衣裳已施行看尽，针线犹存未忍开。
尚想旧情怜婢仆，也曾因梦送钱财。
诚知此恨人人有，贫贱夫妻百事哀。",长恨歌,楚江怀古三首·其一,梦李白二首·其二
45,遣悲怀三首·其三,元稹 〔唐代〕,https://www.gushiwen.cn/shiwenv_fe89b7670e0a.aspx,"闲坐悲君亦自悲，百年都是几多时。
邓攸无子寻知命，潘岳悼亡犹费词。
同穴窅冥何所望，他生缘会更难期。
惟将终夜长开眼，报答平生未展眉。",长恨歌,楚江怀古三首·其一,咏怀古迹五首·其三
46,遣悲怀三首·其一,元稹 〔唐代〕,https://www.gushiwen.cn/shiwenv_c20e02dc390a.aspx,"谢公最小偏怜女，自嫁黔娄百事乖。
顾我无衣搜荩箧，泥他沽酒拔金钗。(荩箧 一作：画箧)
野蔬充膳甘长藿，落叶添薪仰古槐。
今日俸钱过十万，与君营奠复营斋。",长恨歌,咏怀古迹五首·其一,咏怀古迹五首·其三
47,遣怀,杜牧 〔唐代〕,https://www.gushiwen.cn/shiwenv_42e12feb4ebb.aspx,"落魄江湖载酒行，楚腰纤细掌中轻。(江湖 一作：江南；纤细 一作：肠断)
十年一觉扬州梦，赢得青楼薄幸名。",秋登兰山寄张五,遣悲怀三首·其一,遣悲怀三首·其二
48,逢入京使,岑参 〔唐代〕,https://www.gushiwen.cn/shiwenv_10d21c96ba71.aspx,"故园东望路漫漫，双袖龙钟泪不干。
马上相逢无纸笔，凭君传语报平安。",宫词二首·其一,送魏万之京,早寒江上有怀
49,送魏万之京,李颀 〔唐代〕,https://www.gushiwen.cn/shiwenv_67ca0b01f1c4.aspx,"朝闻游子唱离歌，昨夜微霜初渡河。
鸿雁不堪愁里听，云山况是客中过。
关城树色催寒近，御苑砧声向晚多。(树 一作：曙)
莫见长安行乐处，空令岁月易蹉跎。(莫见 一作：莫是)",长恨歌,送綦毋潜落第还乡,长相思·其一
50,送陈章甫,李颀 〔唐代〕,https://www.gushiwen.cn/shiwenv_8d4ba7e81446.aspx,"四月南风大麦黄，枣花未落桐阴长。(阴 一作：叶)
青山朝别暮还见，嘶马出门思旧乡。
陈侯立身何坦荡，虬须虎眉仍大颡。
腹中贮书一万卷，不肯低头在草莽。
东门酤酒饮我曹，心轻万事如鸿毛。
醉卧不知白日暮，有时空望孤云高。
长河浪头连天黑，津口停舟渡不得。
郑国游人未及家，洛阳行子空叹息。
闻道故林相识多，罢官昨日今如何。",长恨歌,送綦毋潜落第还乡,送人东游
51,送綦毋潜落第还乡,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_dfa0d65184ac.aspx,"圣代无隐者，英灵尽来归。
遂令东山客，不得顾采薇。
既至金门远，孰云吾道非。(金门 一作：君门)
江淮度寒食，京洛缝春衣。
置酒长安道，同心与我违。(长安道 一作：临长道)
行当浮桂棹，未几拂荆扉。
远树带行客，孤村当落晖。(孤村 一作：孤城)
吾谋适不用，勿谓知音稀。",长恨歌,送陈章甫,老将行
52,送灵澈上人,刘长卿 〔唐代〕,https://www.gushiwen.cn/shiwenv_214bea9d63ff.aspx,"苍苍竹林寺，杳杳钟声晚。
荷笠带斜阳，青山独归远。(斜阳 一作：夕阳)",渭川田家,送友人,利州南渡
53,送梓州李使君,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_099b402a826b.aspx,"万壑树参天，千山响杜鹃。
山中一夜雨，树杪百重泉。
汉女输橦布，巴人讼芋田。
文翁翻教授，不敢倚先贤。",长恨歌,送李中丞之襄州,送元二使安西
54,送杨氏女,韦应物 〔唐代〕,https://www.gushiwen.cn/shiwenv_871dfe3a1377.aspx,"永日方戚戚，出行复悠悠。
女子今有行，大江溯轻舟。
尔辈苦无恃，抚念益慈柔。
幼为长所育，两别泣不休。
对此结中肠，义往难复留。
自小阙内训，事姑贻我忧。
赖兹托令门，任恤庶无尤。
贫俭诚所尚，资从岂待周。
孝恭遵妇道，容止顺其猷。
别离在今晨，见尔当何秋。
居闲始自遣，临感忽难收。
归来视幼女，零泪缘缨流。",长恨歌,石鼓歌,喜见外弟又言别
55,送杜少府之任蜀州,王勃 〔唐代〕,https://www.gushiwen.cn/shiwenv_5775c79bcd34.aspx,"城阙辅三秦，风烟望五津。
与君离别意，同是宦游人。
海内存知己，天涯若比邻。
无为在歧路，儿女共沾巾。",和晋陵陆丞早春游望,送李中丞之襄州,饯别王十一南游
56,送李少府贬峡中王少府贬长沙,高适 〔唐代〕,https://www.gushiwen.cn/shiwenv_e7f783986fc1.aspx,"嗟君此别意何如，驻马衔杯问谪居。
巫峡啼猿数行泪，衡阳归雁几封书。
青枫江上秋帆远，白帝城边古木疏。
圣代即今多雨露，暂时分手莫踌躇。",送杨氏女,送杜少府之任蜀州,送李中丞之襄州
57,送李中丞之襄州,刘长卿 〔唐代〕,https://www.gushiwen.cn/shiwenv_b2db4922a8d6.aspx,"流落征南将，曾驱十万师。
罢归无旧业，老去恋明时。
独立三边静，轻生一剑知。
茫茫江汉上，日暮欲何之。",老将行,晚次鄂州,送杜少府之任蜀州
58,送方外上人,刘长卿 〔唐代〕,https://www.gushiwen.cn/shiwenv_862f59a02a57.aspx,"孤云将野鹤，岂向人间住。
莫买沃洲山，时人已知处。",黄鹤楼,送友人,寻隐者不遇
59,送崔九,裴迪 〔唐代〕,https://www.gushiwen.cn/shiwenv_dbbccf73624e.aspx,"归山深浅去，须尽丘壑美。
莫学武陵人，暂游桃源里。",送李少府贬峡中王少府贬长沙,送友人,问刘十九
60,送友人,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_c348339f28fd.aspx,"青山横北郭，白水绕东城。
此地一为别，孤蓬万里征。
浮云游子意，落日故人情。
挥手自兹去，萧萧班马鸣。",饯别王十一南游,淮上喜会梁州故人,庐山谣寄卢侍御虚舟
61,送别·山中相送罢,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_6368d3d62fcd.aspx,"山中相送罢，日暮掩柴扉。
春草明年绿，王孙归不归？(明年 一作：年年)",琵琶行,送别·下马饮君酒,送李中丞之襄州
62,送别·下马饮君酒,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_dc090c40cab3.aspx,"下马饮君酒，问君何所之？
君言不得意，归卧南山陲。
但去莫复问，白云无尽时。",将进酒,终南别业,行路难·其三
63,送元二使安西,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_12a2295aa76b.aspx,"渭城朝雨浥轻尘，客舍青青柳色新。
劝君更尽一杯酒，西出阳关无故人。",长恨歌,送梓州李使君,西施咏
64,送僧归日本,钱起 〔唐代〕,https://www.gushiwen.cn/shiwenv_dffaca77458e.aspx,"上国随缘住，来途若梦行。
浮天沧海远，去世法舟轻。
水月通禅寂，鱼龙听梵声。
惟怜一灯影，万里眼中明。",梦游天姥吟留别,渡荆门送别,晚次鄂州
65,送人东游,温庭筠 〔唐代〕,https://www.gushiwen.cn/shiwenv_57cf93080fe5.aspx,"荒戍落黄叶，浩然离故关。
高风汉阳渡，初日郢门山。
江上几人在，天涯孤棹还。
何当重相见，樽酒慰离颜。",送陈章甫,贼平后送人北归,燕歌行·并序
66,近试上张水部,朱庆馀 〔唐代〕,https://www.gushiwen.cn/shiwenv_b8d00bf5329b.aspx,"洞房昨夜停红烛，待晓堂前拜舅姑。
妆罢低声问夫婿，画眉深浅入时无。",无题二首·其一,酬张少府,石鱼湖上醉歌
67,过香积寺,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_406aa95e0b46.aspx,"不知香积寺，数里入云峰。
古木无人径，深山何处钟。
泉声咽危石，日色冷青松。
薄暮空潭曲，安禅制毒龙。",听蜀僧濬弹琴,石鼓歌,过故人庄
68,过故人庄,孟浩然 〔唐代〕,https://www.gushiwen.cn/shiwenv_4a0d548bebb3.aspx,"故人具鸡黍，邀我至田家。
绿树村边合，青山郭外斜。
开轩面场圃，把酒话桑麻。
待到重阳日，还来就菊花。",寻陆鸿渐不遇,客夜与故人偶集,寄人
69,辋川闲居赠裴秀才迪,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_81ad764f0e24.aspx,"寒山转苍翠，秋水日潺湲。
倚杖柴门外，临风听暮蝉。
渡头馀落日，墟里上孤烟。(馀 一作：余)
复值接舆醉，狂歌五柳前。",长恨歌,赠阙下裴舍人,秋登兰山寄张五
70,轮台歌奉送封大夫出师西征,岑参 〔唐代〕,https://www.gushiwen.cn/shiwenv_9aed86610172.aspx,"轮台城头夜吹角，轮台城北旄头落。
羽书昨夜过渠黎，单于已在金山西。
戍楼西望烟尘黑，汉军屯在轮台北。
上将拥旄西出征，平明吹笛大军行。
四边伐鼓雪海涌，三军大呼阴山动。
虏塞兵气连云屯，战场白骨缠草根。
剑河风急雪片阔，沙口石冻马蹄脱。(雪片阔 一作：云片阔)
亚相勤王甘苦辛，誓将报主静边尘。
古来青史谁不见，今见功名胜古人。",燕歌行·并序,白雪歌送武判官归京,听董大弹胡笳声兼寄语弄房给事
