poem_title,image_type,n_ratings,h_total,c_total,score_diff,claude_higher,image_filename
北青萝,mj,1,13.5,24.0,10.5,True,北青萝_mj.png
赠内人,mj,1,17.5,27.5,10.0,True,赠内人_mj.png
寄左省杜拾遗,mj,1,35.0,25.0,10.0,False,寄左省杜拾遗_mj.png
奉济驿重送严公四韵,mj,1,20.0,30.0,10.0,True,奉济驿重送严公四韵_mj.png
贼退示官吏,nano,1,18.0,28.0,10.0,True,贼退示官吏_nano.png
行路难·其三,mj,1,34.0,24.0,10.0,False,行路难·其三_mj.png
逢入京使,mj,1,15.0,25.0,10.0,True,逢入京使_mj.png
长安遇冯著,mj,1,19.0,29.0,10.0,True,长安遇冯著_mj.png
江南逢李龟年,gpt,1,21.0,31.0,10.0,True,江南逢李龟年_gpt.png
送杨氏女,mj,1,34.0,24.0,10.0,False,送杨氏女_mj.png
终南别业,nano,2,22.0,32.0,10.0,True,终南别业_nano.png
清平调·其二,mj,1,15.0,25.0,10.0,True,清平调·其二_mj.png
韦讽录事宅观曹将军画马图,nano,1,18.0,28.0,10.0,True,韦讽录事宅观曹将军画马图_nano.png
青溪,mj,2,34.0,24.0,10.0,False,青溪_mj.png
望月怀远,mj,1,15.0,25.0,10.0,True,望月怀远_mj.png
月夜·今夜鄜州月,seedream,1,24.0,34.0,10.0,True,月夜·今夜鄜州月_seedream.png
晨诣超师院读禅经,mj,1,34.0,24.0,10.0,False,晨诣超师院读禅经_mj.png
登岳阳楼,seedream,1,35.0,25.0,10.0,False,登岳阳楼_seedream.png
登鹳雀楼,seedream,1,35.0,25.0,10.0,False,登鹳雀楼_seedream.png
秦中感秋寄远上人,gpt,1,17.5,27.5,10.0,True,秦中感秋寄远上人_gpt.png
送杨氏女,nano,1,21.0,31.0,10.0,True,送杨氏女_nano.png
丽人行,gpt,1,19.5,29.0,9.5,True,丽人行_gpt.png
和张仆射塞下曲·其四,mj,1,11.5,21.0,9.5,True,和张仆射塞下曲·其四_mj.png
阙题,mj,1,14.5,24.0,9.5,True,阙题_mj.png
古从军行,mj,1,31.0,21.5,9.5,False,古从军行_mj.png
出塞,mj,1,15.5,25.0,9.5,True,出塞_mj.png
夏日南亭怀辛大,mj,1,19.5,29.0,9.5,True,夏日南亭怀辛大_mj.png
送杜少府之任蜀州,seedream,1,18.5,28.0,9.5,True,送杜少府之任蜀州_seedream.png
蝉,mj,1,12.5,22.0,9.5,True,蝉_mj.png
无题·来是空言去绝踪,mj,1,13.5,23.0,9.5,True,无题·来是空言去绝踪_mj.png
感遇十二首·其四,mj,1,14.5,24.0,9.5,True,感遇十二首·其四_mj.png
宿建德江,mj,1,32.0,22.5,9.5,False,宿建德江_mj.png
泊秦淮,mj,1,32.5,23.0,9.5,False,泊秦淮_mj.png
送李少府贬峡中王少府贬长沙,seedream,1,23.5,33.0,9.5,True,送李少府贬峡中王少府贬长沙_seedream.png
赠阙下裴舍人,nano,2,19.75,29.0,9.25,True,赠阙下裴舍人_nano.png
遣怀,gpt,1,20.0,29.0,9.0,True,遣怀_gpt.png
寄李儋元锡,mj,1,32.0,23.0,9.0,False,寄李儋元锡_mj.png
梦游天姥吟留别,mj,1,34.0,25.0,9.0,False,梦游天姥吟留别_mj.png
望月怀远,seedream,1,21.0,30.0,9.0,True,望月怀远_seedream.png
无题·重帏深下莫愁堂,seedream,1,22.0,31.0,9.0,True,无题·重帏深下莫愁堂_seedream.png
塞下曲·月黑雁飞高,mj,1,19.0,28.0,9.0,True,塞下曲·月黑雁飞高_mj.png
秋日赴阙题潼关驿楼,mj,1,16.5,25.5,9.0,True,秋日赴阙题潼关驿楼_mj.png
落花,mj,1,18.0,27.0,9.0,True,落花_mj.png
夜雨寄北,gpt,1,35.0,26.0,9.0,False,夜雨寄北_gpt.png
清平调·其一,nano,1,23.0,32.0,9.0,True,清平调·其一_nano.png
送梓州李使君,gpt,1,21.0,30.0,9.0,True,送梓州李使君_gpt.png
宣州谢朓楼饯别校书叔云,mj,1,13.0,22.0,9.0,True,宣州谢朓楼饯别校书叔云_mj.png
金陵酒肆留别,mj,1,34.0,25.0,9.0,False,金陵酒肆留别_mj.png
听筝,mj,1,21.0,30.0,9.0,True,听筝_mj.png
行路难·其三,seedream,1,20.0,29.0,9.0,True,行路难·其三_seedream.png
